taskCount;responseTime;userName
35;294;guster
32;843;jaggers
32;642;sally
5;419;deputy
5;506;jaggers
5;128;harmon
31;3417;david
31;362;bet
30;479;bounderby
3;918;wickham
1;252;peerybingle
1;431;barley
30;3124;morfin
38;304;bazzard
3;92;gabelle
1;303;admin
1;304;cavalletto
38;307;sally
3;258;crimp
38;317;jaggers
1;83;sally
30;1240;parkes
0;580;lightwood
30;346;crimp
3;240;rosa
31;630;bunsby
31;567;chivery
31;769;jaggers
31;557;peerybingle
31;905;jeremiah
38;302;sampson
38;852;jaggers
0;268;morfin
38;293;morfin
38;360;sally
1;130;barley
38;287;artful
38;382;artful
21;158;barley
75;101;gabelle
6;514;bet
75;251;alphonse
75;66;petowker
0;894;parkes
0;281;chivery
0;284;barley
0;313;artful
0;81;lightwood
1;291;deputy
0;280;crimp
1;329;admin
0;733;sally
0;286;gabelle
75;478;deputy
1;346;bet
1;154;alphonse
76;283;david
75;79;sampson
38;200;kitty
4;275;gabelle
5;289;lightwood
38;451;barley
1;263;petowker
37;1089;admin
76;79;amy
76;308;jaggers
0;143;gabelle
76;103;bounderby
0;30;mogley
76;69;petowker
0;33;deputy
76;193;kitty
76;489;alphonse
31;513;harmon
31;499;petowker
31;394;sampson
33;1314;deputy
6;543;petowker
6;225;gaspard
6;467;crimp
1;6584;rosa
0;197;barley
0;318;bazzard
0;218;bunsby
0;212;petowker
0;207;bazzard
0;218;guster
1;207;petowker
3;286;admin
2;105;bet
3;94;jaggers
4;108;gaspard
3;105;kitty
0;109;harmon
0;332;bazzard
0;194;peerybingle
0;483;jaggers
0;415;traddles
0;331;david
1;1026;admin
0;430;chivery
0;409;sampson
0;274;jeremiah
0;394;gabelle
7;468;bet
7;326;jaggers
7;470;lightwood
7;497;david
76;278;bazzard
1;85;mogley
0;80;bunsby
1;274;amy
1;84;guster
3;693;sampson
1;277;kitty
0;116;alphonse
0;112;jaggers
0;1140;alphonse
76;225;rosa
1;173;bounderby
76;202;cavalletto
76;210;gabelle
76;238;kitty
1;129;chivery
1;88;bounderby
1;95;peerybingle
0;277;traddles
0;75;gabelle
0;273;barley
0;778;deputy
0;79;rosa
0;277;bunsby
1;285;harmon
1;101;deputy
0;69;wickham
0;298;petowker
1;74;admin
1;264;cavalletto
0;67;morfin
0;256;amy
77;222;rosa
77;228;chivery
77;209;gabelle
77;248;peerybingle
3;52;gaspard
77;180;sally
77;198;bunsby
21;265;amy
21;207;deputy
77;96;parkes
3;146;kitty
3;70;gaspard
3;152;wickham
7;495;barley
7;394;gaspard
32;1176;jaggers
32;1333;pidger
77;320;lightwood
77;190;sally
7;460;petowker
7;668;lightwood
1;706;jeremiah
1;272;alphonse
1;98;admin
1;278;admin
0;275;morfin
3;293;lightwood
2;281;pidger
0;71;barley
0;66;deputy
0;372;cavalletto
0;510;bazzard
1;133;gaspard
1;308;sally
77;210;jeremiah
77;208;amy
3;478;pidger
6;157;bounderby
0;22;david
21;220;sally
21;199;lightwood
77;213;gabelle
77;273;parkes
77;181;barley
77;194;jeremiah
77;257;jaggers
77;67;jeremiah
33;3333;mogley
32;454;crimp
33;321;sampson
33;326;chivery
33;412;david
0;79;peerybingle
0;423;cavalletto
1;1180;deputy
33;1242;barley
33;544;lightwood
0;263;gaspard
1;324;amy
0;72;morfin
0;270;admin
0;268;traddles
0;168;crimp
0;422;jeremiah
0;184;jeremiah
1;308;david
33;333;jaggers
33;308;bet
36;298;admin
77;417;bet
77;193;jeremiah
6;144;david
6;54;david
6;123;amy
7;129;sampson
8;138;traddles
8;119;deputy
77;213;crimp
1;1667;gaspard
78;336;guster
78;232;david
78;221;amy
78;244;gabelle
78;248;cavalletto
78;298;traddles
1;392;barley
35;338;jeremiah
35;273;bounderby
35;386;sampson
35;303;bet
0;2532;jeremiah
1;508;lightwood
1;323;chivery
1;339;bunsby
1;563;wickham
0;343;peerybingle
0;470;kitty
0;272;harmon
0;273;amy
1;282;crimp
1;106;kitty
1;77;crimp
1;130;bunsby
1;109;mogley
1;80;kitty
1;87;cavalletto
1;95;admin
1;95;sampson
1;97;sally
1;273;lightwood
77;249;bunsby
34;301;petowker
34;376;admin
35;287;guster
35;316;traddles
33;312;crimp
0;288;amy
0;84;gabelle
1;283;cavalletto
0;66;barley
78;252;guster
1;344;petowker
78;279;traddles
79;228;barley
79;223;parkes
78;249;wickham
78;230;bet
34;334;traddles
35;290;gabelle
33;325;kitty
31;321;david
31;326;parkes
31;320;pidger
1;133;pidger
31;411;bounderby
31;345;parkes
2;289;petowker
2;154;cavalletto
0;293;guster
79;229;pidger
33;521;bazzard
33;342;chivery
33;364;morfin
79;257;pidger
79;100;sampson
33;490;peerybingle
33;650;sampson
0;419;sampson
34;507;rosa
0;254;sampson
1;150;parkes
0;1743;rosa
2;309;guster
2;96;cavalletto
0;285;peerybingle
1;590;barley
1;362;mogley
37;552;cavalletto
37;125;bazzard
35;300;rosa
35;313;mogley
0;262;harmon
2;315;parkes
1;197;pidger
1;280;parkes
0;272;jeremiah
2;134;deputy
1;140;harmon
1;31;deputy
1;93;mogley
0;278;gabelle
1;272;lightwood
0;808;chivery
0;627;harmon
74;191;traddles
74;197;pidger
72;81;gabelle
72;86;gaspard
19;49;jaggers
65;168;parkes
65;242;mogley
66;79;jeremiah
47;161;rosa
65;147;bunsby
66;322;pidger
66;112;morfin
66;192;gaspard
65;436;harmon
61;185;artful
9;242;jeremiah
61;196;morfin
61;172;bunsby
35;564;pidger
35;654;sally
35;340;crimp
35;318;bet
36;280;lightwood
35;521;parkes
61;262;bounderby
0;391;deputy
1;389;alphonse
0;263;alphonse
0;270;peerybingle
0;66;bunsby
0;204;harmon
0;362;traddles
1;362;gabelle
1;316;admin
1;430;david
0;252;cavalletto
0;65;jaggers
31;1260;wickham
16;210;harmon
16;237;gaspard
0;270;harmon
2;292;alphonse
1;96;amy
0;264;cavalletto
0;75;bunsby
0;70;deputy
0;222;cavalletto
38;344;rosa
37;719;morfin
37;302;sampson
37;344;parkes
37;287;jeremiah
37;325;sally
1;213;david
1;325;amy
31;311;guster
35;488;chivery
35;504;petowker
35;524;barley
35;518;sally
35;501;traddles
35;4075;sampson
60;188;gabelle
60;170;peerybingle
60;195;alphonse
60;2267;traddles
35;497;gabelle
39;252;petowker
0;268;admin
0;282;cavalletto
0;3231;guster
0;258;rosa
0;95;bazzard
16;234;peerybingle
16;213;morfin
16;118;bunsby
39;338;jeremiah
0;405;jeremiah
5;396;bet
5;280;bunsby
5;101;rosa
1;291;artful
40;296;artful
40;310;guster
40;411;bazzard
16;187;mogley
16;230;harmon
16;305;amy
31;299;bounderby
31;353;pidger
60;274;barley
60;174;bazzard
9;247;admin
9;212;morfin
60;182;crimp
60;220;morfin
60;251;morfin
60;209;admin
60;245;pidger
60;216;barley
31;340;jaggers
42;344;gaspard
35;1008;gaspard
35;897;deputy
35;657;gaspard
60;63;parkes
35;551;chivery
35;419;guster
35;487;jeremiah
35;505;harmon
0;248;barley
0;671;crimp
16;248;alphonse
0;311;gabelle
0;91;artful
0;70;traddles
1;114;rosa
1;276;mogley
0;214;bet
0;271;deputy
0;259;alphonse
17;237;wickham
16;253;gaspard
17;160;david
41;267;traddles
43;1364;kitty
43;498;amy
31;322;kitty
31;372;morfin
31;325;wickham
32;1272;alphonse
32;344;rosa
42;466;barley
40;653;sampson
39;302;jaggers
38;118;jaggers
37;306;bunsby
0;69;artful
60;168;bounderby
35;3521;deputy
17;254;pidger
0;73;bunsby
1;284;wickham
1;73;wickham
39;328;peerybingle
39;304;gabelle
17;250;cavalletto
8;763;gabelle
8;276;peerybingle
8;297;david
8;287;bounderby
60;171;artful
60;331;chivery
38;135;bet
37;292;petowker
37;343;petowker
17;267;sampson
17;267;petowker
18;268;jeremiah
18;259;harmon
8;199;chivery
37;318;amy
39;510;traddles
60;177;deputy
8;480;admin
8;228;jaggers
35;576;jeremiah
35;545;petowker
35;486;bounderby
35;531;bounderby
35;2416;bunsby
35;673;peerybingle
1;496;guster
